Id,Sales
1,7830.758
2,23720.338
3,6245.4277
4,7375.205
5,3323.3176
6,3548.371
7,5823.561
8,3589.291
9,4992.0605
10,6024.222
11,5795.444
12,6903.183
13,9657.724
14,2976.0525
15,8195.997
16,7107.481
17,5697.4106
18,5773.07
19,13534.337
20,7943.9316
21,10651.496
22,3362.059
23,6955.647
24,3711.2317
25,5838.019
26,6505.822
27,10212.601
28,6050.5464
29,6496.212
30,3174.1938
31,3397.0347
32,6086.9854
33,4526.4883
34,5007.0366
35,8547.33
36,5463.7896
37,5256.184
38,11552.61
39,2660.2278
40,9466.447
41,4217.675
42,4887.426
43,8511.905
44,6346.2417
45,9624.862
46,5790.516
47,7825.6216
48,4993.646
49,4119.6973
50,7599.0723
51,6060.2715
52,5750.755
53,7341.5425
54,3097.785
55,6689.5757
56,3500.6123
57,7630.779
58,6956.4165
59,3016.154
60,6801.982
61,7867.5044
62,9537.41
63,5469.0654
64,6708.5054
65,5362.691
66,4261.823
67,3706.135
68,11366.684
69,8210.643
70,6187.324
71,6699.2417
72,7821.093
73,10063.392
74,8173.3535
75,4352.1763
76,5566.253
77,6629.3374
78,2477.4338
79,6568.063
80,7995.135
81,11545.837
82,3464.1143
83,5526.35
84,9074.79
85,5580.8223
86,5710.673
87,4223.0234
88,6649.7134
89,3780.3892
90,4631.3213
91,2778.1902
92,3676.3398
93,7182.7627
94,3586.1362
95,4195.934
96,4296.72
97,9659.75
98,6734.171
99,7757.054
100,5351.237
101,2902.0916
102,4927.595
103,5715.7837
104,9450.338
105,6622.6836
106,1157.3673
107,3077.6875
108,6462.7266
109,3645.4907
110,6892.086
111,9389.286
112,5637.487
113,6352.4546
114,6582.184
115,2185.9138
116,5357.8804
117,7592.4663
118,6591.3237
119,8126.1377
120,3790.2551
121,5503.8286
122,9011.721
123,2731.0234
124,3399.796
125,8586.555
126,7286.0635
127,6269.6445
128,4127.1177
129,6872.5464
130,9632.291
131,8508.025
132,6564.199
133,3963.3103
134,4946.6123
135,4809.442
136,3206.6157
137,7638.854
138,5382.74
139,8805.164
140,5409.82
141,7715.1562
142,7278.806
143,3054.0017
144,8465.341
145,6481.9355
146,3396.9438
147,4549.881
148,5964.5176
149,7712.6846
150,8136.009
151,7148.0894
152,7335.2646
153,9505.365
154,8987.0205
155,2244.426
156,7769.574
157,8843.64
158,5365.6836
159,6163.1904
160,12381.949
161,5040.372
162,5566.3643
163,5345.3867
164,3848.4084
165,7804.15
166,9465.518
167,6367.3022
168,5257.7334
169,9372.217
170,6051.1177
171,9932.292
172,5665.3135
173,4727.6094
174,5426.2256
175,5922.144
176,3229.5503
177,5897.5483
178,2821.3657
179,6041.8394
180,3333.5706
181,6411.669
182,3751.3096
183,5247.189
184,6624.9385
185,8482.392
186,10330.728
187,5100.0054
188,7255.1597
189,8823.371
190,2579.9185
191,6679.911
192,7309.469
193,3316.7793
194,7318.3066
195,8420.572
196,4255.9385
197,9879.549
198,6650.9565
199,4265.5645
200,8331.793
201,2936.2642
202,6315.2695
203,6738.983
204,9603.691
205,5450.685
206,7855.2764
207,6999.7456
208,5576.3374
209,2592.648
210,20218.135
211,4612.324
212,2570.868
213,4912.866
214,4885.24
215,6917.7344
216,10672.1875
217,5671.6436
218,7132.353
219,4628.434
220,6680.8413
221,4717.238
222,8024.9497
223,11827.509
224,5704.745
225,5291.885
226,3842.1963
227,6241.641
228,4570.9873
229,4097.7153
230,5711.103
231,7650.03
232,10874.627
233,5896.4404
234,4358.789
235,5660.037
236,4317.8794
237,6779.7163
238,4503.3877
239,4508.9575
240,10575.239
241,5516.919
242,5342.8076
243,4266.3657
244,4592.529
245,4737.1772
246,7544.885
247,8125.479
248,2809.439
249,7947.114
250,6411.889
251,5523.078
252,4931.502
253,4587.482
254,4043.2722
255,9026.584
256,4514.465
257,4191.7944
258,4516.196
259,5804.6426
260,4906.0864
261,12114.505
262,13334.804
263,4148.842
264,6815.5723
265,6199.267
266,2383.5532
267,5929.1685
268,4227.2305
269,5323.6733
270,3232.912
271,5661.932
272,18659.617
273,7094.7085
274,3488.9172
275,3617.2283
276,4880.6577
277,2224.888
278,5695.591
279,6341.323
280,7629.426
281,8375.705
282,9009.168
283,7799.2246
284,10223.934
285,9163.802
286,5019.204
287,5559.2925
288,3458.4136
289,14472.335
290,6747.8193
291,7310.954
292,9449.445
293,5613.249
294,3031.458
295,5556.743
296,6589.4443
297,8041.574
298,9712.273
299,8894.16
300,6940.877
301,6295.7744
302,6124.344
303,4751.294
304,6025.4
305,5466.625
306,10938.407
307,4756.131
308,6147.247
309,4614.903
310,5489.9575
311,6526.845
312,5375.9375
313,2369.062
314,3466.6956
315,5821.762
316,3084.0632
317,8045.187
318,11594.21
319,6938.3354
320,2952.6235
321,8772.701
322,4597.731
323,4286.7334
324,8344.985
325,4835.0347
326,5231.3003
327,9939.55
328,2578.8362
329,9364.757
330,2913.2556
331,6570.9634
332,7033.525
333,7302.648
334,6590.871
335,2123.3472
336,5905.6416
337,7032.2905
338,5599.754
339,5452.6035
340,4731.6284
341,9259.336
342,7704.297
343,5162.6133
344,5800.78
345,7620.2344
346,8598.248
347,2901.0635
348,3421.716
349,4002.1963
350,6559.831
351,3103.7139
352,10203.168
353,4825.499
354,7795.425
355,6758.6646
356,5112.5596
357,4134.9575
358,10578.296
359,10974.456
360,7048.425
361,3673.2312
362,3642.1511
363,12166.224
364,2770.8884
365,5725.3853
366,7395.6025
367,5225.74
368,8303.862
369,9136.488
370,5439.837
371,7271.514
372,4946.2397
373,7508.3203
374,5089.918
375,4601.67
376,4542.7573
377,3427.1406
378,5468.1943
379,9403.023
380,2338.5972
381,7702.2544
382,6235.751
383,9388.48
384,6860.641
385,5270.0674
386,3244.4482
387,7382.432
388,7090.9478
389,6337.527
390,5396.1807
391,5257.1416
392,7474.0503
393,5915.4663
394,5133.1567
395,7935.08
396,2797.9683
397,4023.8193
398,5973.1816
399,3780.6523
400,5317.346
401,11349.948
402,18023.209
403,4447.7393
404,4585.4175
405,5144.8555
406,2637.8599
407,9572.255
408,8632.461
409,10906.314
410,4097.321
411,2936.663
412,8605.943
413,2636.3296
414,6235.3286
415,9662.901
416,2727.5227
417,6281.357
418,3717.59
419,4602.0034
420,5593.957
421,6036.852
422,5852.859
423,15178.901
424,5390.3433
425,3213.6477
426,4070.1755
427,4713.7075
428,4976.963
429,9805.078
430,4745.312
431,6127.6274
432,7924.243
433,4014.9456
434,4592.8135
435,5864.0103
436,8937.234
437,1360.9446
438,4897.1113
439,6616.85
440,7314.971
441,12066.55
442,2447.4724
443,5217.937
444,6102.0327
445,6025.5957
446,6657.798
447,8249.706
448,10885.47
449,4996.8853
450,6702.5137
451,7626.0356
452,9227.548
453,11717.327
454,7331.6562
455,8819.325
456,4891.086
457,3662.6252
458,5822.7
459,6364.971
460,3486.5657
461,4915.191
462,10715.49
463,5330.481
464,4637.0405
465,6162.779
466,5119.986
467,4181.888
468,6675.842
469,8036.6064
470,5495.6357
471,3427.1177
472,7444.3438
473,9758.212
474,3892.6362
475,6742.827
476,5759.432
477,7416.2896
478,8214.167
479,5062.199
480,9301.109
481,7390.794
482,7513.657
483,9282.014
484,3548.6587
485,7778.515
486,3131.1519
487,5797.666
488,9716.896
489,5812.237
490,5696.7314
491,7120.6973
492,2682.971
